name,position,cost,xmins,ep_gw20,ep_gw21,ep_gw22
Meupiyou,DEF,4.0,11,0.3,0.2,0.2
Renato Veiga,MID,4.5,10,0.3,0.2,0.2
Diego Carlos,DEF,4.5,0,0.0,0.3,0.4
Chukwuemeka,MID,4.8,4,0.3,0.2,0.2
Miley,MID,5.0,1,0.1,0.2,0.3
Milner,MID,5.0,0,0.0,0.2,0.4
Tierney,DEF,4.3,6,0.3,0.2,0.1
Y. Chermiti,FWD,4.9,1,0.1,0.2,0.3
Irving,MID,4.8,2,0.1,0.2,0.2
Kelleher,GKP,4.2,0,0.0,0.3,0.2
Marc Guiu,FWD,4.7,1,0.1,0.2,0.2
M.França,MID,4.4,0,0.0,0.2,0.3
Iroegbunam,MID,4.4,0,0.0,0.2,0.3
Dasilva,MID,4.8,0,0.0,0.2,0.3
Townsend,DEF,3.9,5,0.2,0.2,0.2
Cresswell,DEF,3.9,1,0.0,0.2,0.2
Konak,MID,4.5,4,0.2,0.1,0.1
Luongo,MID,4.4,0,0.0,0.1,0.3
King,DEF,4.0,6,0.2,0.0,0.2
Toffolo,DEF,4.2,1,0.1,0.2,0.1
Kalajdžić,FWD,4.8,0,0.0,0.1,0.2
Cundle,MID,4.5,5,0.3,0.0,0.0
Hardy,DEF,4.0,9,0.3,0.0,0.0
Austin,GKP,4.0,0,0.0,0.1,0.2
Moore,MID,4.5,0,0.0,0.1,0.2
Edouard,FWD,5.1,0,0.0,0.0,0.3
Winterburn,MID,4.5,0,0.0,0.2,0.1
Evans,DEF,4.4,4,0.1,0.1,0.1
C.Miguel,GKP,4.2,1,0.0,0.1,0.2
Lankshear,FWD,4.5,5,0.3,0.0,0.0
Hayden,MID,4.4,2,0.2,0.0,0.1
C. Taylor,DEF,3.9,3,0.1,0.0,0.1
Bogarde,DEF,4.0,4,0.2,0.1,0.0
Johnstone,GKP,4.3,0,0.0,0.1,0.2
L. Thomas,DEF,3.9,2,0.1,0.2,0.0
Steele,GKP,4.1,2,0.1,0.1,0.1
Nallo,DEF,4.0,3,0.1,0.0,0.0
Dewsbury-Hall,MID,5.5,0,0.0,0.0,0.2
D. Ward,GKP,4.0,3,0.1,0.0,0.1
Williams-Barnett,MID,4.5,3,0.2,0.0,0.0
Chiwome,FWD,4.5,2,0.2,0.0,0.0
Matai Akinmboni,DEF,0.0,1,0.0,0.1,0.1
Olusesi,MID,4.5,2,0.2,0.0,0.0
Marquinhos,FWD,0.0,2,0.2,0.0,0.0
McCarthy,GKP,4.3,1,0.1,0.1,0.0
Valdimarsson,GKP,3.9,3,0.1,0.0,0.0
Butler-Oyedeji,FWD,4.5,0,0.0,0.0,0.2
W. Dennis,GKP,4.0,0,0.0,0.2,0.0
Diego G�mez,MID,0.0,1,0.1,0.0,0.1
Benda,GKP,4.0,0,0.0,0.1,0.1
Min-hyeok Yang,FWD,0.0,1,0.1,0.0,0.0
Omobamidele,DEF,4.2,2,0.1,0.0,0.0
Lumley,GKP,4.0,0,0.0,0.1,0.1
Olsen,GKP,4.5,0,0.0,0.1,0.0
N. Neto,GKP,4.1,0,0.0,0.0,0.1
Casadei,MID,4.4,0,0.0,0.0,0.1
Moder,MID,4.4,1,0.1,0.0,0.0
Cornet,MID,4.7,1,0.1,0.0,0.0
Luke Plange,FWD,0.0,0,0.0,0.0,0.1
Arthur,DEF,4.0,2,0.1,0.0,0.0
Turner,GKP,3.9,1,0.0,0.0,0.1
Pedro Lima,DEF,3.9,0,0.0,0.0,0.1
Jørgensen,GKP,4.2,1,0.0,0.0,0.1
Wright,MID,4.5,1,0.1,0.0,0.0
Calvin Ramsay,DEF,0.0,1,0.1,0.0,0.0
Wilson-Esbrand,DEF,4.0,1,0.1,0.0,0.0
Lindelof,DEF,4.3,0,0.0,0.0,0.1
Morton,MID,4.4,0,0.0,0.0,0.1
Bayindir,GKP,4.3,0,0.0,0.0,0.1
Jaden,MID,5.3,0,0.0,0.0,0.1
Carson,GKP,4.0,1,0.1,0.0,0.0
B.Traore,MID,4.8,0,0.0,0.1,0.0
Brits,GKP,4.0,1,0.1,0.0,0.0
Amissah,DEF,4.0,0,0.0,0.1,0.0
Krafth,DEF,4.3,0,0.0,0.0,0.0
Kporha,DEF,4.0,0,0.0,0.0,0.0
Scarles,DEF,4.0,0,0.0,0.0,0.0
Begovic,GKP,4.0,0,0.0,0.0,0.0
Swinkels,DEF,4.0,0,0.0,0.0,0.0
Pond,DEF,3.9,1,0.0,0.0,0.0
Holding,DEF,4.3,0,0.0,0.0,0.0
Fábio Vieira,MID,5.4,0,0.0,0.0,0.0
Hein,GKP,4.0,0,0.0,0.0,0.0
R. Nelson,MID,5.0,0,0.0,0.0,0.0
Saka,MID,10.3,0,0.0,0.0,0.0
B. White,DEF,6.1,0,0.0,0.0,0.0
Barrenechea,MID,4.9,0,0.0,0.0,0.0
Dendoncker,MID,4.5,0,0.0,0.0,0.0
Diaby,MID,6.5,0,0.0,0.0,0.0
Dobbin,MID,5.0,0,0.0,0.0,0.0
Gauci,GKP,4.0,0,0.0,0.0,0.0
Iling Jr,MID,5.4,0,0.0,0.0,0.0
Kesler-Hayden,DEF,4.0,0,0.0,0.0,0.0
Marschall,GKP,4.0,0,0.0,0.0,0.0
Pau,DEF,4.3,0,0.0,0.0,0.0
Sinisalo,GKP,4.0,0,0.0,0.0,0.0
Sousa,DEF,4.0,0,0.0,0.0,0.0
Anthony,MID,4.5,0,0.0,0.0,0.0
Faivre,MID,5.0,0,0.0,0.0,0.0
