name,position,cost,xmins_gw4,xmins_gw5,xmins_gw6,xmins_gw7,xpts_gw4,xpts_gw5,xpts_gw6,xpts_gw7
Struijk,DEF,4.5,59,49,40,33,2.0,1.9,1.5,1.3
Cook,MID,4.9,0,44,57,63,0.0,1.8,2.3,2.6
Mavropanos,DEF,4.4,40,46,54,43,1.6,1.8,2.0,1.2
Zinchenko,DEF,4.9,0,49,48,48,0.0,2.2,2.7,1.7
Gordon,MID,7.4,0,0,62,62,0.0,0.0,2.9,3.6
J.Murphy,MID,6.3,39,34,21,24,2.4,1.7,1.0,1.4
Chukwueze,MID,5.5,16,31,36,39,1.0,1.8,1.7,1.9
Hinshelwood,MID,5.3,39,39,37,43,1.6,1.7,1.4,1.8
Dibling,MID,5.5,43,26,25,29,2.2,1.2,1.5,1.5
Devenny,MID,4.5,43,32,22,14,2.7,1.7,1.2,0.7
Nelson,MID,4.9,25,30,36,37,1.3,1.5,1.8,1.8
Summerville,MID,5.5,23,31,37,43,1.3,1.6,1.7,1.7
Wharton,MID,5.0,0,24,59,77,0.0,1.0,2.2,3.0
Merino,MID,5.9,24,27,26,29,1.5,1.5,1.4,1.9
Kamara,MID,4.9,0,27,65,67,0.0,1.1,2.5,2.6
Lammens,GKP,5.0,1,27,50,78,0.1,1.0,1.8,3.4
Trippier,DEF,5.0,37,37,28,27,2.1,1.6,1.1,1.4
Nmecha,FWD,5.0,22,28,27,24,1.3,1.7,1.7,1.5
Garnacho,MID,6.4,13,16,35,41,0.8,1.0,2.2,2.2
Alcaraz,MID,5.4,39,29,22,28,2.0,1.3,1.3,1.5
Hee Chan,MID,5.9,40,25,20,18,2.1,1.7,1.2,1.2
Piroe,FWD,5.4,21,26,30,33,1.1,1.5,1.7,1.8
Mount,MID,6.0,0,12,43,52,0.0,0.7,2.2,3.2
Mazraoui,DEF,4.9,45,45,33,31,1.4,1.7,1.3,1.6
Aké,DEF,5.4,58,41,25,21,2.5,1.2,1.3,0.9
Hume,DEF,4.5,66,51,36,39,1.9,1.7,1.2,1.1
Uche,FWD,5.5,32,32,25,18,2.0,1.7,1.2,1.0
Scott,MID,5.0,54,23,24,25,2.3,1.1,1.1,1.2
McAtee,MID,5.4,29,26,26,31,1.3,1.4,1.6,1.4
Khusanov,DEF,5.4,53,35,25,28,2.2,1.1,1.2,1.2
Todibo,DEF,4.4,41,38,42,36,1.6,1.5,1.5,1.0
Kevin,MID,6.0,17,26,31,29,1.0,1.5,1.5,1.5
Kalimuendo,FWD,6.0,23,24,25,27,1.1,1.4,1.7,1.3
Longstaff,MID,4.9,46,31,28,31,1.7,1.3,1.2,1.3
Martinelli,MID,6.9,27,23,13,18,1.9,1.5,0.8,1.4
H.Bueno,DEF,4.5,36,40,33,32,1.2,1.8,1.2,1.3
Broja,FWD,5.4,20,25,27,32,1.1,1.5,1.3,1.6
Sessegnon,MID,5.4,37,23,25,26,1.8,1.3,1.2,1.2
Møller Wolfe,DEF,4.5,42,37,35,37,1.3,1.6,1.2,1.4
Solanke,FWD,7.2,0,10,37,40,0.0,0.6,2.5,2.3
F.Kadıoğlu,DEF,4.4,33,34,31,33,1.3,1.5,1.0,1.5
Sarr,MID,6.5,0,0,36,77,0.0,0.0,1.7,3.6
Tchaouna,MID,4.9,24,24,27,29,1.2,1.4,1.3,1.4
Fer López,MID,5.4,21,28,28,25,1.1,1.5,1.4,1.3
B. White,DEF,5.4,19,28,34,28,1.0,1.3,1.5,1.5
Thiaw,DEF,5.0,42,32,26,27,2.0,1.2,0.9,1.2
Igor,DEF,4.5,41,43,42,42,1.4,1.5,1.3,1.0
Traoré,MID,5.5,21,23,27,35,1.0,1.2,1.3,1.6
Dalot,DEF,4.5,0,12,45,49,0.0,0.5,1.8,2.8
Igor Jesus,FWD,5.9,20,22,22,25,1.0,1.3,1.5,1.3
Carvalho,MID,4.9,19,23,24,21,1.1,1.3,1.4,1.2
C. Mosquera,DEF,5.4,57,15,18,22,2.6,0.6,0.7,1.0
Ugarte,MID,4.9,31,31,30,27,1.2,1.2,1.2,1.2
N.Gonzalez,MID,6.0,28,27,22,26,1.3,1.1,1.2,1.2
Stones,DEF,5.5,13,30,36,36,0.6,0.9,1.8,1.4
Robertson,DEF,5.9,23,25,24,23,1.2,1.4,1.1,0.9
Marc Guiu,FWD,4.4,32,15,14,11,2.0,0.9,1.0,0.7
Röhl,MID,5.0,7,23,33,30,0.5,1.0,1.7,1.4
Sangaré,MID,5.0,32,27,29,30,1.2,1.1,1.2,1.1
Kovačić,MID,6.0,14,30,28,31,0.7,1.1,1.4,1.4
Amadou Onana,MID,5.0,0,20,42,43,0.0,0.9,1.8,1.9
Brooks,MID,5.0,24,20,20,14,1.4,1.1,1.1,0.8
Tel,MID,6.3,23,21,13,11,1.6,1.3,0.9,0.7
Pau,DEF,4.4,23,27,27,29,0.8,1.2,1.1,1.3
J.Araujo,DEF,4.0,27,26,31,22,1.1,1.0,1.2,1.0
Trossard,MID,6.9,15,13,15,17,1.2,0.9,1.0,1.4
Fofana,DEF,4.4,15,22,35,47,0.6,0.8,1.5,1.5
Flemming,FWD,5.4,21,19,20,20,1.1,1.1,1.0,1.1
Doherty,DEF,4.5,37,32,26,26,1.1,1.3,0.9,1.0
Gruev,MID,5.0,45,22,22,26,1.5,0.9,0.9,1.0
Perri,GKP,4.5,0,0,35,76,0.0,0.0,1.3,2.8
Henry,DEF,4.5,29,26,28,34,1.0,0.9,1.1,1.1
Aaronson,MID,5.4,19,19,17,20,1.0,1.0,1.0,1.1
R.Gomes,DEF,4.5,31,23,26,20,1.1,1.1,1.0,0.9
L. Martinez,DEF,4.9,0,0,30,56,0.0,0.0,1.1,2.9
Milambo,MID,5.4,17,20,20,21,0.9,1.0,1.1,1.0
Nketiah,FWD,5.4,0,11,29,32,0.0,0.7,1.5,1.7
Sonne,DEF,4.0,27,30,28,32,0.8,1.3,0.8,1.1
Hoever,DEF,4.0,6,22,33,32,0.2,1.1,1.2,1.3
Tzimas,FWD,5.4,10,13,18,18,0.7,0.9,1.0,1.2
J. Gomez,DEF,5.0,22,19,20,27,1.1,0.9,0.8,1.0
Willock,MID,5.0,20,18,16,17,1.1,0.9,0.8,0.9
Maguire,DEF,4.4,28,32,18,18,0.9,1.2,0.7,1.0
Coppola,DEF,4.4,17,26,21,29,0.6,1.1,0.7,1.3
Edwards,MID,4.9,18,20,15,17,0.9,1.1,0.8,0.9
Buendía,MID,5.3,28,19,8,7,1.4,1.1,0.6,0.5
J. Harrison,MID,5.4,13,18,13,22,0.7,1.0,0.7,1.2
Bakwa,MID,6.0,4,15,23,21,0.2,0.9,1.5,1.0
Odobert,MID,5.4,20,12,11,16,1.2,0.7,0.7,1.0
Veltman,DEF,4.4,27,21,24,23,1.0,0.9,0.7,1.0
L.Miley,MID,4.5,21,14,17,22,1.1,0.6,0.8,1.0
N. Patterson,DEF,4.4,0,11,36,34,0.0,0.3,1.7,1.4
Hutchinson,MID,5.5,14,16,18,14,0.7,0.9,1.1,0.7
Dowman,MID,4.5,22,12,6,6,1.5,0.7,0.4,0.5
Justin,DEF,4.0,13,18,23,25,0.5,0.7,1.0,1.0
Hill,DEF,4.0,11,19,23,22,0.5,0.8,1.0,1.0
Lewis-Skelly,DEF,5.4,12,19,21,17,0.5,0.8,0.9,0.9
O’Reilly,DEF,4.9,26,17,10,11,1.3,0.6,0.7,0.5
Canvot,DEF,4.5,19,17,22,24,0.9,0.6,0.7,0.9
Andrey Santos,MID,4.5,11,23,16,18,0.5,1.0,0.8,0.7
Sosa,DEF,5.0,15,17,14,18,0.9,0.8,0.6,0.8
S.Magassa,MID,5.0,10,19,20,23,0.5,0.8,0.8,0.9
Hato,DEF,4.9,13,21,23,17,0.5,0.8,1.0,0.6
C.Jones,MID,5.4,0,6,26,26,0.0,0.4,1.3,1.2
Iroegbunam,MID,5.0,25,15,14,14,1.1,0.6,0.6,0.6
Osula,FWD,5.5,17,16,3,4,1.3,1.0,0.3,0.4
McNeil,MID,5.8,17,10,11,13,1.0,0.5,0.7,0.7
Morato,DEF,4.4,18,14,20,22,0.5,0.6,1.0,0.8
Jensen,MID,4.9,10,16,17,16,0.5,0.7,0.8,0.8
Nwaneri,MID,5.4,12,11,9,10,0.8,0.7,0.6,0.7
Danso,DEF,4.4,9,20,19,19,0.4,0.8,0.9,0.8
Hickey,DEF,4.0,15,15,20,27,0.5,0.5,0.8,0.9
Watson,MID,4.9,8,10,14,10,0.6,0.7,0.8,0.6
Hincapie,DEF,5.5,8,11,17,21,0.4,0.5,0.7,1.1
Isidor,FWD,5.5,15,15,11,10,0.7,0.8,0.6,0.5
