name,position,cost,xmins,ep_gw1,ep_gw2,ep_gw3,ep_gw4,ep_gw5
Wieffer,MID,5.0,35,1.6,1.4,1.5,1.8,1.5
Christie,MID,5.0,0,0.0,0.7,1.8,2.7,2.6
Adama,MID,5.5,31,1.5,1.6,1.4,1.5,1.6
Delap,FWD,6.5,33,2.3,1.2,1.3,1.3,1.3
Estêvão,MID,6.5,24,1.6,1.3,1.4,1.4,1.8
Elliott,MID,5.5,30,1.9,1.2,1.1,1.5,1.8
Aaronson,MID,5.5,27,1.5,1.2,1.5,1.4,1.8
Walker-Peters,DEF,4.5,36,1.7,1.2,1.5,1.5,1.4
Udogie,DEF,4.5,26,1.0,1.0,2.1,1.7,1.6
Keane,DEF,4.5,78,3.1,1.9,1.2,0.7,0.4
Akanji,DEF,5.5,36,1.6,1.9,1.1,1.5,1.1
D. Gomez,MID,5.0,32,1.6,1.4,1.4,1.2,1.6
Hinshelwood,MID,5.5,32,1.4,1.4,1.3,1.5,1.5
Milambo,MID,5.5,22,1.1,1.3,1.6,1.5,1.5
Casemiro,MID,5.5,30,1.3,1.5,1.4,1.3,1.4
Trossard,MID,7.0,9,0.5,1.5,1.6,1.7,1.7
C. Wilson,FWD,6.0,11,0.8,1.0,1.3,2.0,1.7
Kroupi.Jr,FWD,4.5,26,1.2,1.7,1.1,1.2,1.4
J.Araujo,DEF,4.0,33,0.9,1.7,1.4,1.2,1.4
Lewis,DEF,5.0,30,1.3,1.6,1.3,1.5,1.0
Mings,DEF,4.5,25,1.0,1.1,1.3,1.5,1.8
Kamada,MID,5.0,0,0.0,0.7,1.5,2.3,2.1
Osula,FWD,5.5,38,2.1,1.6,2.0,0.4,0.4
Bruun Larsen,MID,5.5,21,1.2,1.5,1.3,1.2,1.4
Castagne,DEF,4.5,30,1.0,1.3,1.1,1.4,1.5
Calafiori,DEF,5.5,20,1.0,1.7,0.9,1.5,1.4
J. Harrison,MID,5.5,23,1.4,1.1,1.4,1.2,1.4
Esse,MID,5.0,20,1.0,1.4,1.2,1.5,1.2
Trippier,DEF,5.0,31,1.3,1.0,1.3,1.7,1.1
Ramazani,MID,5.0,22,1.3,1.1,1.2,1.3,1.4
Veltman,DEF,4.5,32,1.4,1.3,1.1,1.1,1.4
P. Roberts,MID,5.5,22,1.2,1.3,1.3,1.1,1.3
Struijk,DEF,4.5,77,3.4,0.5,0.7,0.7,0.8
Hickey,DEF,4.0,21,0.7,0.9,1.4,1.5,1.6
Robertson,DEF,6.0,23,1.2,1.0,1.2,1.4,1.3
Gusto,DEF,5.0,25,1.2,1.2,1.2,1.2,1.2
S.Bueno,DEF,4.5,35,1.0,1.0,1.4,1.0,1.4
Bradley,DEF,5.0,16,0.4,1.2,1.2,1.4,1.6
Mazraoui,DEF,5.0,28,0.5,1.1,1.8,1.1,1.4
Merino,MID,6.0,18,1.0,1.3,1.0,1.1,1.2
Marc Guiu,FWD,4.5,6,0.4,0.8,1.3,1.4,1.6
